original_index,stemmed,clean_final
14002,"['dear', 'aju', 'temu', 'adegan', 'cutscene', 'story', 'alami', 'patah', 'patah', 'ganggu', 'nikmat', 'tonton', 'cutscene', 'info', 'infinix', 'note', 'chipset', 'ram', 'gb', 'rom', 'gb', 'kena', 'optimal', 'cutscenenya', 'aju', 'lebih', 'hehehe']",dear aju temu adegan cutscene story alami patah patah ganggu nikmat tonton cutscene info infinix note chipset ram gb rom gb kena optimal cutscenenya aju lebih hehehe
14003,"['banyak', 'bansos']",banyak bansos
14004,[],
14005,"['cinta', 'coba', 'download', 'suka', 'tampil', 'suka', 'karakter', 'cerita', 'masuk', 'kasih', 'hadiah', 'kurang', 'pasang', 'ram', 'ngenlag', 'parah']",cinta coba download suka tampil suka karakter cerita masuk kasih hadiah kurang pasang ram ngenlag parah
14006,[],
14007,[],
14008,"['wow', 'kalah', 'genshin']",wow kalah genshin
14009,[],
14010,[],
14011,"['ever', 'favorit']",ever favorit
14012,[],
14013,"['hsr', 'ngebuat', 'mental', 'main', 'yee']",hsr ngebuat mental main yee
14014,"['alhamdulillah', 'bansosnya', 'ngalir', 'kaya', 'belah', 'betah']",alhamdulillah bansosnya ngalir kaya belah betah
14015,"['optimal', 'gimana', 'enak', 'genshin', 'ngeframe', 'enak']",optimal gimana enak genshin ngeframe enak
14016,[],
14017,"['kalah', 'rate']",kalah rate
14018,"['segi', 'cerita', 'saran', 'tarung', 'banyak', 'fitur', 'lompat', 'genshin', 'impact', 'developer']",segi cerita saran tarung banyak fitur lompat genshin impact developer
14019,"['gacha', 'wangy', 'terusin']",gacha wangy terusin
14020,[],
14021,"['sampe', 'device', 'penuh']",sampe device penuh
14022,"['genshin', 'could', 'never']",genshin could never
14023,[],
14024,[],
14025,[],
14026,"['wareg', 'bansos', 'kikir', 'impact']",wareg bansos kikir impact
14027,['gacha'],gacha
14028,[],
14029,"['teori', 'bintang', 'gacha', 'black', 'swan']",teori bintang gacha black swan
14030,"['gila', 'bener', 'gila', 'lian', 'tarung', 'nyantai', 'enjoy', 'story', 'kerja', 'mihiyo']",gila bener gila lian tarung nyantai enjoy story kerja mihiyo
14031,"['blade', 'gantebg']",blade gantebg
14032,"['caring', 'dev']",caring dev
14033,[],
14034,"['bntr', 'anniv', 'buka', 'lot', 'bansos']",bntr anniv buka lot bansos
14035,['bansos'],bansos
14036,"['dear', 'honkai', 'star', 'rail', 'optimal', 'droprate', 'relic', 'tingkat', 'mudah', 'player', 'farming', 'relic', 'efisiensi', 'farming']",dear honkai star rail optimal droprate relic tingkat mudah player farming relic efisiensi farming
14037,[],
14038,"['dev', 'unik', 'bas', 'turn', 'base', 'milik', 'sistem', 'armor', 'weakness', 'element', 'weakness', 'bingung', 'kali']",dev unik bas turn base milik sistem armor weakness element weakness bingung kali
14039,[],
14040,['umur'],umur
14041,['komen'],komen
14042,"['muas', 'story']",muas story
14043,"['enak', 'main', 'hilang', 'stress', 'bosan', 'milik', 'grafik']",enak main hilang stress bosan milik grafik
14044,"['speak', 'much', 'really', 'really']",speak much really really
14045,[],
14046,"['rate', 'awas', 'gacha', 'ngampas', 'turunin', 'nih', 'rate', 'pake', 'akun']",rate awas gacha ngampas turunin nih rate pake akun
14047,"['selamat', 'siang']",selamat siang
14048,"['bansos', 'bejibun', 'tinggal', 'hoki', 'doang']",bansos bejibun tinggal hoki doang
