original_index,cleaned,normalized
166,untuk game yang dermawan tentu saja di imbangi endgame konten yang semakin sulit untuk tetap mendapatkan pemasukan untuk game ini mudah untuk mengerjakan story apalagi karakter baru yang semakin overpower tetapi musuh konten end game juga semakin overpower dan juga global pasif mulai diterapkan untuk melepas batas kemampuan yang hanya karakter dalam tim,untuk game yang dermawan tentu saja di imbangi endgame konten yang semakin sulit untuk tetap mendapatkan pemasukan untuk game ini mudah untuk mengerjakan story apalagi karakter baru yang semakin overpower tetapi musuh konten end game juga semakin overpower dan juga global pasif mulai diterapkan untuk melepas batas kemampuan yang hanya karakter dalam tim
167,walaupun aku gak bisa main karena android tapi saat lihat orang main entah kenapa aku sangat suka nih game dan saya harap hoyoverse membuat game ini bisa di mainkan oleh android saya mohon,walaupun aku tidak bisa main karena android tapi saat lihat orang main entah kenapa aku sangat suka nih game dan saya harap hoyoverse membuat game ini bisa di mainkan oleh android saya mohon
168,kecewa kiana kaslana gak ada masa cuma kevin welt himeko bronya raiden mei silver wolf dll ada sedangkan kiana kaslana gak ada lah kocakkkk seri honkai gak ada kiana kaslana,kecewa kiana kaslana tidak ada masa cuma kevin welt himeko bronya raiden mei silver wolf dll ada sedangkan kiana kaslana tidak ada lah kocakkkk seri honkai tidak ada kiana kaslana
169,banyakin event up material biar bisa build semua char lebih cepet,perbanyak event up material biar bisa build semua char lebih cepet
170,tidak ada tombol skip lompat sangat tidak recommend,tidak ada tombol skip lompat sangat tidak recommend
171,norak lu semua yg rating b kecuali yg emg rating dari lama,norak kamu semua yang rating b kecuali yang memang rating dari lama
172,give me castorice okay,give me castorice okay
173,best game ever really enjoy the storyline and all kind of things that the games served about the storywriting the character development all of the lore theory and moral message in the game are prepared so much well the gameplay not that boring even this is a turn based game genre especially the little add in the game change some my experience on turn based game the desain of character looks good and getting better each version also the animation very very fascinating love this game,best game ever really enjoy the storyline and all kind of things that the games served about the storywriting the character development all of the lore theory and moral message in the game are prepared so much well the game play not that boring even this is a turn based game genre especially the little add in the game change some my experience on turn based game the desain of character looks good and getting better each version also the animation very very fascinating love this game
174,power creep terus,power creep terus
175,dari segi grafik story baguss bgtt apalagi charanya unik smua mana bnyak di gratisin ini game dermawan sungguh dermawan thx kepada hoyo buat digame ini yg sungguh baik n dermawan i luv hsr ever sbg f p player sayangnya ini hp kurang penyimpanannya huhh bissmillah tahun ini kebeli hp mumpuni dri segi apapun itu,dari segi grafik story baguss sekali apalagi charanya unik semua mana bnyak di gratisin ini game dermawan sungguh dermawan thanks kepada hoyo buat digame ini yang sungguh baik n dermawan i luv hsr ever sebagai f p player sayangnya ini hp kurang penyimpanannya huhh bissmillah tahun ini kebeli hp mumpuni dri segi apapun itu
176,bagus aja banyak hal yang bisa di eksplor dan gacha gak terlalu ampas kek kikir impact,bagus saja banyak hal yang bisa di eksplor dan gacha tidak terlalu ampas seperti kikir impact
177,baguss banget,baguss sekali
178,gacha still star ptw for tw,gacha still star ptw for tw
179,terlalu try hard end game nya pergerakan meta terlalu cepat jd nya char yg saya dapatkan terasa kurang bermakna story amphoreus cukup bagus namun saya merasa tidak terlalu relevan dengan story sebelumnya jadinya saya tidak mendapatkan ekspektasi apapun untuk kedepannya relic lvl ratenya entah knp kacau sangat susah dapat roll yg bagus jadi susah build char desainnya juga kurang suka seperti cara char berlari dan desain npc nya i feel empty playing this game like losing my spark,terlalu try hard end game nya pergerakan meta terlalu cepat jadi nya char yang saya dapatkan terasa kurang bermakna story amphoreus cukup bagus namun saya merasa tidak terlalu relevan dengan story sebelumnya jadinya saya tidak mendapatkan ekspektasi apapun untuk kedepannya relic lvl ratenya entah kenapa kacau sangat susah dapat roll yang bagus jadi susah build char desainnya juga kurang suka seperti cara char berlari dan desain npc nya i feel empty playing this game like losing my spark
180,b terus bayar bayar habiskan uang kapan b nya keluar,b terus bayar bayar habiskan uang kapan b nya keluar
181,makasih hoyo akh dapet casto sign,terima kasih hoyo akh dapat casto sign
182,story bagus tapi animasi dialog biasa jelek kalau dibanding wuwa yang setara sama cut scene,story bagus tapi animasi dialog biasa jelek kalau dibanding wuwa yang setara sama cut scene
183,tolong kalau buat kit karakter baru jangan nge power crept karakter lama dong,tolong kalau buat kit karakter baru jangan nge power crept karakter lama dong
184,tanya cs di game ini ga guna ga ngasih solusi,tanya cs di game ini tidak guna tidak memberi solusi
185,game nya bagus dari story gameplay sama character udh bagus bgt terus juga karena ada auto jadi lebih gampang untuk yang masih baru baru main,game nya bagus dari story game play sama character sudah bagus sekali terus juga karena ada auto jadi lebih mudah untuk yang masih baru baru main
186,bagus dapet gratis ga ke game sebelah yang katanya dev listened cuman tolong bisa skip dialog soalnya mau main lagi cuma males yapping nya lama,bagus dapat gratis tidak ke game sebelah yang katanya dev listened cuman tolong bisa skip dialog soalnya mau main lagi cuma males yapping nya lama
187,sekarang udah best lah bug ga bisa loginnya juga udah berkurang cuma masalah ngelagnya aja sih padahal wifi bagus kenceng tapi di in game pasti jadi yg paling malesin tuh pas ngequest tadinya lancar aja tiba tiba jadi loading ga jelas dan harus ngulang dari situ mulu itu pun biasanya ngulang sampe x lebih harapannya besok bisa lebih di optimalin sih,sekarang sudah best lah bug tidak bisa loginnya juga sudah berkurang cuma masalah ngelagnya saja sih padahal wifi bagus kenceng tapi di in game pasti jadi yang paling malesin tuh ketika ngequest tadinya lancar saja tiba tiba jadi loading tidak jelas dan harus ngulang dari situ mulu itu pun biasanya ngulang sampe x lebih harapannya besok bisa lebih di optimalin sih
188,sudah bisa min semenjak update sudah tidak ada black screen lagi,sudah bisa min semenjak update sudah tidak ada black screen lagi
189,game bagus semoga game ini bertahan dan berkembang menjadi game yang lebih baik,game bagus semoga game ini bertahan dan berkembang menjadi game yang lebih baik
190,gacha ampas,gacha ampas
191,ini kok kerasa frame patah patah ya padahal sebelumnya gak ada tuh patah patah sejak update patch castorice kek mulai ada yang aneh padahal gen loh tolong optimalin lagi pliss,ini kok kerasa frame patah patah ya padahal sebelumnya tidak ada tuh patah patah sejak update patch castorice seperti mulai ada yang aneh padahal gen loh tolong optimalin lagi please
192,gak bisa login hoyoverse setan,tidak bisa login hoyoverse setan
193,game yg baik dengan alur cerita yg sangat bagus dan menarik tapi tolong kurangi powercreep dan perbanyak karakter bintang ya,game yang baik dengan alur cerita yang sangat bagus dan menarik tapi tolong kurangi powercreep dan perbanyak karakter bintang ya
194,gacha busuk pity terooos,gacha busuk pity terooos
195,game baik banyak hadiah yang diberikan kepada player tapi saya berharap untuk kedepan nya di adakan duel dengan pemain lain supaya ada kompetitif nya game nya saya rasa seru kalo di adakan dan buff karakter lawas juga udah mulai ga bisa kepake karakter lama nya,game baik banyak hadiah yang diberikan kepada player tapi saya berharap untuk kedepan nya di adakan duel dengan pemain lain supaya ada kompetitif nya game nya saya rasa seru kalau di adakan dan buff karakter lawas juga sudah mulai tidak bisa kepake karakter lama nya
196,saya suka sunday,saya suka sunday
197,nooo buat kalian jangan kasih rating ni game jadi kecil dong nanti gw gabisa liat waifu gw lagi woilah perkara ch doang,nooo buat kalian jangan kasih rating ni game jadi kecil dong nanti saya gabisa lihat waifu saya lagi woilah perkara ch doang
198,fu xuan bini saya,fu xuan bini saya
199,game nya seruh dan menantang jadi tidak bikin cepeet bosan karena musuh musuh yang sangat menantang,game nya seru dan menantang jadi tidak buat cepeet bosan karena musuh musuh yang sangat menantang
200,omg yassss i got castorice my love my saviour i already build her and omgg her ult so cooll i love her dragon pollux b but pls remove power creep i beg you hoyo and in the next update please take sunday out of his cage bcs i don t have him yet,omg yassss i got castorice my love my saviour i already build her and omgg her ult so cooll i love her dragon pollux b but please remove power creep i beg you hoyo and in the next update please take sunday out of his cage bcs i don t have him yet
201,game ini pas saya main karakter saya mati karena level karakter nya lupa di naikin,game ini ketika saya main karakter saya mati karena level karakter nya lupa di naikin
202,bagus banget banh kewren efeknya,bagus sekali banh kewren efeknya
203,gamenya bagus tapi minusnya kalau pakai wi fi update update nya itu lama banget,game nya bagus tapi minusnya kalau pakai wi fi update update nya itu lama sekali
204,tambahin fitur bikin anak pliss,tambahkan fitur buat anak please
205,happy anniversary oh ya yg rating b ada beberapa yang gk main jadi kaya cuman fomo kasi b doang gara gara konten di sosmed tp agak sedih juga si masa semua karakter amphoreus mokad semua,happy anniversary oh ya yang rating b ada beberapa yang tidak main jadi kaya cuman fomo kasih b doang gara gara konten di sosmed tp agak sedih juga si masa semua karakter amphoreus mokad semua
206,gw malah dapet blade anyink,saya malah dapat blade anyink
207,bagus banget banyak bansosnya sehat sehat game baik,bagus sekali banyak bansosnya sehat sehat game baik
208,nice game build lumayan gampang bansos lancar gacha alhamdulillah win banner cuman cutscene di hp gw ngeleg,nice game build lumayan mudah bansos lancar gacha alhamdulillah win banner cuman cutscene di hp saya ngeleg
209,game ny seru alur story ny menyentuh design char ny bagus dan yg paling penting banyak bansos,game nya seru alur story nya menyentuh design char nya bagus dan yang paling penting banyak bansos
210,jarang low pity,jarang low pity
211,buat tombol skip dialog lah dialognya panjangnya gila banget,buat tombol skip dialog lah dialognya panjangnya gila sekali
212,aku kasih bintang karena castorice ku belum pulang selama puluhan kali gacha hoyo tolong kasih ak castorice,aku kasih bintang karena castorice ku belum pulang selama puluhan kali gacha hoyo tolong kasih aku castorice
213,are you kidding me no more new stars characters edit kegoda bansos dikit aja langsung naik ratingnya,are you kidding me no more new stars characters edit kegoda bansos dikit saja langsung naik ratingnya
214,nggak ramah f p power creep ganas,tidak ramah f p power creep ganas
215,selamat ulang tahun hsr years anniversary,selamat ulang tahun hsr years anniversary
216,game nya bagus dan game play nya seru dan santai dan banyak sekali teka teki yg sulit sesuai alur cerita nya,game nya bagus dan game play nya seru dan santai dan banyak sekali teka teki yang sulit sesuai alur cerita nya
217,char b makin dikit malah kagak ada yg baru di patch sekarang enemy nya dibuat kekebalan tubuh hp nya badag bet coeg buat kelarin boss butuh hampir setengah jam karena dps dah jadoel wowkkwkw buat lowspender kek saya mah mending buat koleksi waifu doang dah ngikutin char yg lagi naik daun mah tar juga keganti lagi sama char baru yg bakal dateng story nya kebanyakan yapping pula bangke,char b makin dikit malah tidak ada yang baru di patch sekarang enemy nya dibuat kekebalan tubuh hp nya badag bet coeg buat kelarin boss butuh hampir setengah jam karena dps sudah jadoel wowkkwkw buat lowspender seperti saya mah mending buat koleksi waifu doang sudah ngikutin char yang lagi naik daun mah tar juga keganti lagi sama char baru yang bakal dateng story nya kebanyakan yapping pula bangke
218,wuthering wave the best game ever,wuthering wave the best game ever
219,mabar epep emel yok bang,mabar epep emel yok bang
220,gamenya berat sama loading screen nya lambuaaaat tolong di ringanin saya tidak bisa main kalo kaya gini,game nya berat sama loading screen nya lambuaaaat tolong di ringanin saya tidak bisa main kalau kaya gini
221,menghabiskan storage tapi bagus sih grapik nya,menghabiskan storage tapi bagus sih grapik nya
222,keep fighting,keep fighting
